Identifier	name	componentType	type	Tests name	Result	Message
b4974f1c-65ee-393e-9346-0a9131b561c4	outlook_exchange_EvaluateJsonPath	PROCESSOR	org.apache.nifi.processors.standard.EvaluateJsonPath	Валидация стандартов оформления ресурсов	Warning	Для ресурса нет схемы валидации
fd611e66-6690-371f-8a1e-85c8bca4695d	outlook_exchange_Convert_DateTimes	PROCESSOR	org.apache.nifi.processors.script.ExecuteScript	Валидация стандартов оформления ресурсов	Error	'/etc/nifi/wcurrent/scripts/groovy/convert_avro_debezium.groovy' does not match '^/etc/nifi/current/scripts/*' pattern ^/etc/nifi/current/scripts/*
657d9fce-7a19-347d-ba1d-c3820918b4d3	outlook_exchange_ConsumeKafkaRecord_2_0	PROCESSOR	org.apache.nifi.processors.kafka.pubsub.ConsumeKafkaRecord_2_0	Включены все процессоры	Error	'DISABLE' is not one of ['ENABLED'] enum ['ENABLED']
657d9fce-7a19-347d-ba1d-c3820918b4d3	outlook_exchange_ConsumeKafkaRecord_2_0	PROCESSOR	org.apache.nifi.processors.kafka.pubsub.ConsumeKafkaRecord_2_0	ConsumeKafkaRecord ->parse.failure-> ConvertRecord	Error	Нет ребра по parse.failure
657d9fce-7a19-347d-ba1d-c3820918b4d3	outlook_exchange_ConsumeKafkaRecord_2_0	PROCESSOR	org.apache.nifi.processors.kafka.pubsub.ConsumeKafkaRecord_2_0	Валидация стандартов оформления ресурсов	Error	'DISABLE' is not one of ['ENABLED'] enum ['ENABLED']
e1ef5c7b-93e4-3b0a-9195-1f766bb9327c	outlook_exchange_Convert_To_JSON	PROCESSOR	org.apache.nifi.processors.standard.ConvertRecord	Валидация стандартов оформления ресурсов	Warning	Для ресурса нет схемы валидации
4b02820a-8bdb-3c84-bd13-883d045e9d4b	outlook_exchange_SplitJson	PROCESSOR	org.apache.nifi.processors.standard.SplitJson	Валидация стандартов оформления ресурсов	Warning	Для ресурса нет схемы валидации
533f7f0e-2258-365e-b5ae-777a9df30c98	ConvertRecord	PROCESSOR	org.apache.nifi.processors.standard.ConvertRecord	Префикс системы	Error	Название процессора начинается не верно
533f7f0e-2258-365e-b5ae-777a9df30c98	ConvertRecord	PROCESSOR	org.apache.nifi.processors.standard.ConvertRecord	Валидация стандартов оформления ресурсов	Warning	Для ресурса нет схемы валидации
7935db80-4e99-3cc8-8e08-67c0a9048ff6	outlook_exchange_Generate_Insert_Statements	PROCESSOR	org.apache.nifi.processors.script.ExecuteScript	Валидация стандартов оформления ресурсов	Error	'/etc_nifi/current/scripts/js/generate_insert_for_mssql.js' does not match '^/etc/nifi/current/scripts/*' pattern ^/etc/nifi/current/scripts/*
9326b607-efb4-3ba7-ae6f-61e82fbdb44e	ConfluentSchemaRegistry_from_Kafka	CONTROLLER_SERVICE	org.apache.nifi.confluent.schemaregistry.ConfluentSchemaRegistry	Валидация стандартов оформления ресурсов	Warning	Для ресурса нет схемы валидации
b9b01dbd-5074-37b7-aad7-d6e287b99749	AvroRecordSetWriter_from_Kafka	CONTROLLER_SERVICE	org.apache.nifi.avro.AvroRecordSetWriter	Валидация стандартов оформления ресурсов	Warning	Для ресурса нет схемы валидации
